Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
WINGDEX-TAXA-002,Dodo,Raphus cucullatus,2427.0,1,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Rock Pigeon,Columba livia,1853.0,8,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,American Robin,Turdus migratorius,28633.0,X,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Red-tailed Hawk,Buteo jamaicensis,8506.0,1,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Southern Brown Kiwi (South I.),Apteryx australis australis,22.0,2,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],33130.0,4,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],1886.0,X,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,Dark-eyed Junco (Oregon x Pink-sided),Junco hyemalis [oreganus Group] x mearnsi,33139.0,1,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,Dark-eyed Junco (Oregon x Gray-headed),Junco hyemalis [oreganus Group] x caniceps,33143.0,1,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,gull sp.,Larinae sp.,6619.0,X,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,passerine sp.,Passeriformes sp.,35852.0,X,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,hummingbird sp.,Trochilidae sp.,5214.0,X,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,Mallard (Domestic type),Anas platyrhynchos (Domestic type),548.0,5,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),312.0,2,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-003,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868.0,12,NZ-WGN,Wellington City,L90020003,Zealandia,-41.2905,174.7537,2026-05-24,07:45 AM,eBird - Traveling Count,82,1,2.7,,3,,,Diverse taxonomy fixture checklist.,
